Timestamp,User,SessionTime,HR,RR,Range_m,RMS,Energy,PeakToPeak,IBI_Mean,IBI_STD,Skewness,Kurtosis,DominantFreq,SpectralCentroid,SpectralEntropy,PulseWidth,RiseTime,BandPower,SBP_Estimate,DBP_Estimate
2026-02-24 16:59:49.031275,data_collection_user,19.28,50.00,11.72,0.641,0.1226671645382015,5.7781375702434055,1.3411418044327659,1.0676470588235294,0.27967479879242746,-1.49850565443407,14.614566080896093,0.8333333333333333,1.25362402797042,3.2418750181939604,0.5220671910678064,0.19375,979.6181730048725,129.6,78.8
2026-02-24 16:59:49.077412,data_collection_user,19.33,50.00,11.72,0.641,0.11279936382679236,4.8986231446956925,1.2776168714623246,1.0277777777777777,0.3154459903684087,-1.259035729846683,14.624576610875195,0.8311688311688312,1.3799743666127986,3.240371358639837,0.49597720573454207,0.19333333333333338,858.9441662968694,129.3,78.7
2026-02-24 16:59:49.119249,data_collection_user,19.37,50.00,11.72,0.775,0.10937333255201954,4.617534987184378,1.261213338601122,1.0333333333333334,0.3023059524536176,-0.4800378340718397,13.782550110788542,0.8290155440414507,1.4575052982514853,3.2004884482559417,0.4944360124472976,0.1823529411764706,822.9860127847842,129.3,78.7
2026-02-24 16:59:49.179646,data_collection_user,19.43,50.00,11.72,0.775,0.11133695510500796,4.797220100385115,1.2815722633408506,1.0333333333333334,0.3023059524536176,0.20638233339679235,13.598491228280313,1.6020671834625322,1.4537136121704057,3.196161409437384,0.4937856407462771,0.190625,846.870398565402,129.3,78.7
2026-02-24 16:59:49.227984,data_collection_user,19.48,50.00,11.72,0.775,0.11537289840960414,5.164631406723942,1.3258163487730905,1.0361111111111112,0.29805180177816387,0.5768734091821976,14.012022355993142,1.5979381443298968,1.4133865202090177,3.22439297801403,0.49386906880575515,0.19117647058823528,894.8619193343795,129.5,78.8
2026-02-24 16:59:49.269246,data_collection_user,19.52,50.00,11.72,0.775,0.11824590078914353,5.439034197786594,1.3650486553654353,1.0388888888888888,0.29418227321941615,0.665277479372571,14.315092387167134,1.4910025706940873,1.381400882171523,3.238320724200786,0.4945760201956023,0.190625,934.4605047409368,129.7,78.9
2026-02-24 16:59:49.331858,data_collection_user,19.58,50.00,11.72,0.775,0.1188919569423803,5.5127659959796365,1.3751446899875228,1.0416666666666667,0.2902345794544666,0.5606674501718318,14.21893307839997,1.4871794871794872,1.372368863405347,3.230656999252461,0.49490814902659813,0.19375,955.644326428979,129.8,78.9
2026-02-24 16:59:49.378600,data_collection_user,19.63,50.00,11.72,0.775,0.11864079383442167,5.503574443009743,1.3622873794176629,1.0444444444444443,0.28620548605313906,0.4164160618731657,13.638898943050414,1.4833759590792839,1.3807966832295882,3.218268081270598,0.4947761840976198,0.19687500000000002,976.805689129606,129.7,78.9
2026-02-24 16:59:49.420954,data_collection_user,19.67,50.00,11.72,0.775,0.11988529423052743,5.6340136389141335,1.3663927435911862,1.05,0.28087165910587863,0.4122588908081744,13.043274939244782,1.4795918367346936,1.3826578430538023,3.2310320984247816,0.4938202229797902,0.19687500000000002,1025.29418401378,129.7,78.9
2026-02-24 16:59:49.482395,data_collection_user,19.73,50.00,11.72,0.775,0.12298566301488112,5.9443110097334895,1.3785355073989611,1.052777777777778,0.27812478325695533,0.5413251330980445,12.288959216666141,1.3740458015267174,1.3825256050248302,3.241239602796411,0.49310727387422704,0.19411764705882353,1109.1302947931497,129.8,78.9
2026-02-24 16:59:49.528582,data_collection_user,19.78,50.00,11.72,0.775,0.12764443656443272,6.419482261225487,1.3976976426849084,1.0555555555555556,0.2763295581210198,0.7398853691184135,11.74369252551388,1.3705583756345177,1.3716072568583346,3.237861506016224,0.49307914750722004,0.19117647058823528,1220.5762874904492,129.9,78.9
2026-02-24 16:59:49.571260,data_collection_user,19.82,50.00,11.72,0.775,0.13521548496231375,7.221874812569508,1.4180678046134467,1.0,0.3280725208659946,1.0207699307948892,11.20615957135368,1.3670886075949367,1.3522082013276109,3.210564225097711,0.47069052455221916,0.19117647058823528,1394.314836941423,130.0,79.0
2026-02-24 16:59:49.631679,data_collection_user,19.88,50.00,11.72,0.775,0.14230305630894305,8.01906329460702,1.4465791125167144,1.0026315789473683,0.3246348897366841,1.2289834173500247,11.144979452365181,1.2626262626262625,1.3213142156364435,3.184453515967877,0.47263143077692665,0.19375,1555.9825819053704,130.1,79.0
2026-02-24 16:59:49.678630,data_collection_user,19.93,50.00,11.72,0.775,0.14752964172728833,8.640703089708277,1.4739598322023206,1.061111111111111,0.27159792359067375,1.3230714885147907,11.131737849054858,0.9571788413098236,1.2858761307623423,3.150145318293136,0.49552731658174354,0.18529411764705883,1675.279123807302,130.2,79.1
2026-02-24 16:59:49.718940,data_collection_user,19.97,50.00,11.72,0.775,0.15068723691872915,9.03724406134008,1.500145120509369,1.0638888888888889,0.26864141504344263,1.3174307355429786,11.006897568790746,0.9547738693467336,1.2515803918297843,3.1152137295792013,0.4966851834553587,0.19411764705882353,1745.9536168581265,130.3,79.1
2026-02-24 16:59:49.780023,data_collection_user,20.03,50.00,11.72,0.775,0.15205117606685667,9.224704497182383,1.5246480658422326,1.0666666666666667,0.2682246156571847,1.2444048677880664,10.8292332463512,0.9523809523809522,1.22257797816818,3.091331488319249,0.49809434624984633,0.19411764705882353,1774.0219808822706,130.4,79.2
2026-02-24 16:59:49.829134,data_collection_user,20.08,50.00,11.72,0.775,0.1518350159123024,9.221548822835647,1.545317794031876,1.0694444444444444,0.2682965238152705,1.1333629510777248,10.720239743480802,0.9500000000000001,1.2015687944278572,3.0744893905830715,0.49964433209874703,0.19411764705882353,1767.2743733790223,130.5,79.2
2026-02-24 16:59:49.869071,data_collection_user,20.12,50.00,11.72,0.775,0.14984596158667643,8.981524881534284,1.559717675854546,1.0694444444444444,0.2667389948208261,1.011039603674307,10.926365579508362,0.9500000000000001,1.1960591154808586,3.092819929362834,0.5000522212859935,0.1970588235294118,1699.8321668926326,130.6,79.2
2026-02-24 16:59:49.930269,data_collection_user,20.18,50.00,11.72,0.775,0.1462403938364477,8.554501115775734,1.5657961738181005,1.072222222222222,0.2709152297830358,0.9031340890130477,11.45590079303923,0.8500000000000001,1.1989820446855566,3.135525973076873,0.5126252158338971,0.184375,1589.9640259586342,130.6,79.2
2026-02-24 16:59:49.977724,data_collection_user,20.23,50.00,11.72,0.775,0.1414700150276758,8.005506060772328,1.5625724947715876,1.0210526315789472,0.3469095853213221,0.812525666599862,12.313002594548635,0.8500000000000001,1.2067357087306998,3.197653921455844,0.496936132747376,0.17777777777777778,1451.9423133483006,130.6,79.2
2026-02-24 16:59:50.023482,data_collection_user,20.27,50.00,11.72,0.775,0.13642592407833412,7.444813104250954,1.5509590754464027,1.0236842105263158,0.3577592622849792,0.7210216975290963,13.32388450065914,0.8500000000000001,1.2167696770276313,3.275972000353067,0.4742839001411978,0.1875,1310.7468255195322,130.6,79.2
2026-02-24 16:59:50.077735,data_collection_user,20.33,50.00,11.72,0.775,0.13223171105584028,6.994090163502092,1.5341133115699772,1.0833333333333333,0.3086709862908689,0.6244009015072909,14.06787852880754,0.8500000000000001,1.2303388564442914,3.366377360614418,0.49687618924283816,0.18529411764705883,1195.2198480172904,130.5,79.2
2026-02-24 16:59:50.129016,data_collection_user,20.38,50.00,11.72,0.775,0.1285800685372413,6.613133610016667,1.5162551981566987,1.0289473684210524,0.32294524119247253,0.5696243314660553,14.771258815040785,0.8500000000000001,1.2555775355696719,3.3984131968250093,0.47359242036563653,0.18611111111111112,1133.8393355727735,130.4,79.1
2026-02-24 16:59:50.169245,data_collection_user,20.42,50.00,11.72,0.775,0.12570405754433492,6.320604033243786,1.5007930349487355,1.031578947368421,0.31212789480384706,0.5465760329925707,15.395128394053465,0.8500000000000001,1.2798814196641615,3.4103794323538557,0.47898148864882195,0.18611111111111112,1098.8321451331292,130.3,79.1
2026-02-24 16:59:50.233906,data_collection_user,20.48,50.00,11.72,0.775,0.12369669900699638,6.120349338090984,1.489174780486134,1.0342105263157895,0.2964938233043274,0.5490471327613206,15.874238687426303,0.8500000000000001,1.2993467690257952,3.394229213059247,0.48438895156597395,0.18823529411764706,1086.282839667437,130.3,79.1
2026-02-24 16:59:50.277904,data_collection_user,20.53,50.00,11.72,0.775,0.12274202683614721,6.026242060738193,1.4809328417958056,1.0342105263157895,0.2874811808847335,0.5549989282232463,15.986077898917042,0.8500000000000001,1.3102724541368354,3.3997689989157,0.4842270312665374,0.18823529411764706,1081.3672305237346,130.2,79.1
2026-02-24 16:59:50.320071,data_collection_user,20.57,50.00,11.72,0.775,0.1223767018697974,5.99042286421171,1.474608453542883,1.0342105263157895,0.27912109783679506,0.5677987095822313,15.88874772528493,0.8500000000000001,1.316932662874295,3.4074686482732877,0.48455289294023646,0.18529411764705883,1086.0249976700616,130.2,79.1
2026-02-24 16:59:50.382282,data_collection_user,20.63,50.00,14.06,0.775,0.12247863989910142,6.000406892613504,1.4689006304669134,1.0342105263157895,0.2685500206170299,0.5870121141174124,15.581623480125458,0.8500000000000001,1.320761615532548,3.4123053284423737,0.4842396091557159,0.18823529411764706,1098.51232760409,130.7,79.3
